Band_Index,Combined_Importance,Undefined_Importance,Water_Importance,Non-Water_Importance,Raw_SHAP_Undefined,Raw_SHAP_Water,Raw_SHAP_Non-Water,Is_Selected,Rank
23,0.02066219970946647,0.01661376013147461,0.032199378627426396,0.009551172326032005,-0.0001411353548750292,0.0001965253690907267,-3.745219407800409e-05,1,51
36,0.01995682575968214,0.028293821061225487,0.03341265264423902,0.005623420422331233,-0.00014030817242503685,0.00010665847229941081,-2.857003817379561e-05,1,52
5,0.019691660671938897,0.02025646426510292,0.010436841679112678,0.028887026654958375,5.204110102183476e-05,-2.7985947696704973e-05,7.464255300498155e-05,1,53
21,0.019321367929197968,0.022320152399007327,0.019777612946980223,0.018549461388277885,-0.00010090106471595737,9.738508207104762e-05,-8.646402392773999e-05,1,54
25,0.018996380590508934,0.015956804354248722,0.03475316284696646,0.003559553727341956,-0.000109721807187379,0.000216773809207492,4.782658736108437e-05,1,55
33,0.01783182913597634,0.03446643649770056,0.0328788171332918,0.0010338298374267577,-0.0001768707620098179,0.0001686523416529624,-1.2332091307904477e-07,1,56
63,0.017579621529914356,0.0277540592115323,0.026172952685080544,0.007915296934577862,-3.167445481053634e-05,7.177319491181826e-07,-6.710017321120852e-05,1,57
19,0.017567369813338223,0.016818400713870526,0.018086079076088325,0.01712749940316367,-0.00013215154392141513,0.00015355560378417448,-0.00010978890256263536,1,58
50,0.01708631847366468,0.0037499064549158787,0.0062127639758726315,0.02936370581553555,-4.849985505400246e-05,1.9434790956534346e-05,-5.570846627489969e-05,1,59
60,0.016264325286600965,0.0014207882877144459,0.02897523365045681,0.00511589450157528,-8.541216079883313e-05,-9.316022899268494e-05,3.532712623328155e-05,1,60
41,0.01607117832665286,0.047574122229346955,0.018721133191149392,0.010105124103978,-0.00012160884718242566,2.7104571186441132e-05,-3.859792780218368e-05,1,61
20,0.015983774404630415,0.011021540230812395,0.02241161881529349,0.010078270433316603,-2.2060619552151663e-05,8.992319208275812e-05,-5.2811171345160845e-05,1,62
40,0.015650480141447178,0.01658519381201679,0.021042336199587015,0.010160233170615804,-6.803736899982149e-05,6.994122210655593e-05,-4.147533799382928e-05,1,63
4,0.015456443550329182,0.004853975664750313,0.015293945185196252,0.016734991166575678,3.5319902127947124e-05,1.6627138709566398e-05,8.556019596665424e-05,1,64
72,0.015325612883178808,0.04785426488409349,0.004752385092512028,0.022474772042170358,5.4869013907616614e-05,-0.00010946184317344849,2.4514484371943938e-05,1,65
32,0.01501087701699598,0.013946306912610028,0.026319534080660713,0.0038142799643192437,-4.7252137403037943e-05,9.423324638149644e-05,-2.6300082189579533e-05,1,66
3,0.01408599793398206,0.015684746066064868,0.007990182800644995,0.020013523790257778,0.00013763359669919842,4.864563845110925e-05,0.0002489690488557167,1,67
